date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:31	9198/9198	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257315c24d6fec75c4d46a8cc3fa6e0d5%22	https://static.oktopost.com/oktrk.js	C:/Users/hp/Desktop/New%20folder/getbuilt/static.oktopost.com/oktrk.js	(from https://getbuilt.com/)
16:56:31	110148/110148	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262d61f1f-1ae44%22	http://static.zotabox.com/b/9/b90130654645f0aa1e883c07ec558a63/widgets.js	C:/Users/hp/Desktop/New%20folder/getbuilt/static.zotabox.com/b/9/b90130654645f0aa1e883c07ec558a63/widgets.js	(from https://getbuilt.com/)
16:56:32	625083/625083	---M-Z	200	added ('OK')	application/javascript	etag:%2262b4b0a7-23b9f%22	https://fast.wistia.com/assets/external/E-v1.js	C:/Users/hp/Desktop/New%20folder/getbuilt/fast.wistia.com/assets/external/E-v1.js	(from https://getbuilt.com/)
16:56:33	109000/109000	---MC-	200	added ('OK')	application/javascript	date:Sat,%2023%20Jul%202022%2009:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-5GM7F62	C:/Users/hp/Desktop/New%20folder/getbuilt/www.googleoptimize.com/optimize1672.js	(from https://getbuilt.com/)
16:56:34	83419/83419	---MCZ	200	added ('OK')	text/css	etag:W/%227e7a1a9e3712cd16dade7c6e811ba28b%22	https://getbuilt.com/wp-includes/css/dist/block-library/style.min.css	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-includes/css/dist/block-library/style.min.css	(from https://getbuilt.com/)
16:56:34	151847/151847	---MCZ	200	added ('OK')	text/css	etag:W/%22100688f9a6beda477468d6061495f4dc%22	https://getbuilt.com/wp-content/uploads/maxmegamenu/style.css	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/maxmegamenu/style.css	(from https://getbuilt.com/)
16:56:34	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22d68d6bf519169d86e155bad0bed833f8%22	https://getbuilt.com/wp-includes/css/dashicons.min.css	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-includes/css/dashicons.min.css	(from https://getbuilt.com/)
16:56:35	67477/67477	---MCZ	200	added ('OK')	text/css	etag:W/%222e2503bf1be048fd3972039977075b61%22	https://getbuilt.com/wp-content/themes/BuiltWP/fonts/font-awesome/all.css	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/themes/BuiltWP/fonts/font-awesome/all.css	(from https://getbuilt.com/)
16:56:35	638722/638722	---MCZ	200	added ('OK')	text/css	etag:W/%227ce6b0e11f9b8ab3504e195ab6f54127%22	https://getbuilt.com/wp-content/themes/BuiltWP/style.css	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/themes/BuiltWP/style.css	(from https://getbuilt.com/)
16:56:35	5018/5018	---MCZ	200	added ('OK')	text/css	etag:W/%22ad15a7b51ca7c9e2899ffb38233349f3%22	https://getbuilt.com/wp-content/themes/BuiltWP/style_ie.css	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/themes/BuiltWP/style_ie.css	(from https://getbuilt.com/)
16:56:35	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2202dd5d04add4759122013c5ab4dc5cc2%22	https://getbuilt.com/wp-includes/js/jquery/jquery.min.js	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-includes/js/jquery/jquery.min.js	(from https://getbuilt.com/)
16:56:36	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279b4956b7ec478ec10244b5e2d33ac7d%22	https://getbuilt.com/wp-includes/js/jquery/jquery-migrate.min.js	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-includes/js/jquery/jquery-migrate.min.js	(from https://getbuilt.com/)
16:56:36	52002/52002	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d255b3f5f63b9de313364d3d8597341%22	https://getbuilt.com/wp-json/wp/v2/pages/5466	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-json/wp/v2/pages/5466	(from https://getbuilt.com/)
16:56:37	52002/52002	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d255b3f5f63b9de313364d3d8597341%22	https://getbuilt.com/wp-json/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-json/index.html	(from https://getbuilt.com/)
16:56:37	52002/52002	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d255b3f5f63b9de313364d3d8597341%22	https://getbuilt.com/wp-json/oembed/1.0/embed	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-json/oembed/1.0/embed	(from https://getbuilt.com/)
16:56:38	886/886	---M--	200	added ('OK')	image/svg+xml	etag:%22653ba5288a32a45631e2aa4f27c13eb8%22	https://getbuilt.com/wp-content/themes/BuiltWP/img/blt-logo-web.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/themes/BuiltWP/img/blt-logo-web.svg	(from https://getbuilt.com/)
16:56:38	587/587	---M--	200	added ('OK')	image/svg+xml	etag:%22534f4586fe7386ef38f7834b45917f7e%22	https://getbuilt.com/wp-content/themes/BuiltWP/img/blt-brandmark.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/themes/BuiltWP/img/blt-brandmark.svg	(from https://getbuilt.com/)
16:56:38	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2023%20Jul%202022%2011:56:39%20GMT	https://getbuilt.com/news	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/news	(from https://getbuilt.com/)
16:56:39	56623/56623	---MCZ	200	added ('OK')	text/html	etag:W/%22d709dac9c895c87c54dcba262cf65a64%22	https://getbuilt.com/contact-support/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/contact-support/index.html	(from https://getbuilt.com/)
16:56:40	57564/57564	---MCZ	200	added ('OK')	text/html	etag:W/%22dc3342247d10c2a4bb7fe0b9e9da0427%22	https://getbuilt.com/demo-request/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/demo-request/index.html	(from https://getbuilt.com/)
16:56:40	796460/796460	---M--	200	added ('OK')	image/jpeg	etag:%22cbb4018c207eaa17471aaaf919a92cd9%22	https://getbuilt.com/wp-content/uploads/2021/10/Homepage-Hero-Lender.jpeg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/Homepage-Hero-Lender.jpg	(from https://getbuilt.com/)
